julian_day,time,wind_speed,solar_radiation,relative_humidity,air_temp,canopy_temp_mean,soil_temp,water_content_mean,water_potential_mean
102,0.572916666666667,5.3,819.5,0.578,13.21,23.2733333333333,9,28.87835275,-26.1475518197732
102,0.583333333333333,4.94,421.7,0.551,12.83,18.4016666666667,9,28.8793225,-26.1475518197732
102,0.59375,4.64,629.1,0.547,12.99,20.9133333333333,9,28.88417125,-26.1475518197732
102,0.604166666666667,4.5,265.6,0.526,12.78,15.6316666666667,9,28.87835275,-26.1475518197732
102,0.614583333333333,4.44,257.4,0.535,12.42,14.7866666666667,9,28.87641325,-26.144650930204
102,0.625,4.35,176.4,0.554,12.07,13.1233333333333,9,28.8793225,-26.144650930204
102,0.635416666666667,4.54,377.7,0.546,12.33,15.5083333333333,9,28.8793225,-26.1359522681471
102,0.645833333333333,6.46,700.7,0.565,13.38,19.9266666666667,9,28.87835275,-26.1243633951844
102,0.65625,7.22,670.3,0.561,13.61,19.855,9,28.88029225,-26.1330540491659
102,0.666666666666667,5.73,433.6,0.536,12.65,16.68,9,28.873504,-26.1096660774246
102,0.677083333333333,6.77,561,0.529,13.34,18.1833333333333,9,28.8754435,-26.1125596287914
102,0.6875,5.68,465.7,0.524,13.08,17.03,9,28.87641325,-26.0947533467744
102,0.697916666666667,6.02,341.8,0.521,12.59,14.6866666666667,9,28.873504,-26.0892003582978
102,0.708333333333333,6.24,414,0.517,12.79,15.4616666666667,9,28.873504,-26.0954378674372
102,0.71875,6.58,369.7,0.53,12.79,14.7133333333333,9,28.8754435,-26.0776487832981
102,0.729166666666667,5.95,329.7,0.525,12.73,14.04,9,28.87447375,-26.03853268232
102,0.739583333333333,5.62,284.7,0.527,12.73,13.4166666666667,9,28.873504,-26.056989630839
102,0.75,6.19,244.2,0.508,12.46,12.3283333333333,9,28.87447375,-26.0330013052101
102,0.760416666666667,6.8,201.5,0.532,12.07,11.1316666666667,9,28.87641325,-26.0210154251266
102,0.770833333333333,6.02,111.5,0.54,11.54,9.475,9,28.877383,-26.0214842565395
102,0.78125,6.62,105.7,0.54,10.66,8.85666666666667,9,28.87447375,-26.0183708832409
102,0.791666666666667,5.61,95.1,0.542,10.65,8.33,9,28.87059475,-26.0183708832409
102,0.802083333333333,7.62,55.9,0.526,9.91,6.89166666666667,9,28.87641325,-26.0152582267405
102,0.8125,5.47,28.3,0.56,9.13,6.02666666666667,9,28.87835275,-26.0030469512653
102,0.822916666666667,5.13,7.1,0.565,8.53,5.39833333333333,9,28.8793225,-26.0152582267405
102,0.833333333333333,5.17,0.9,0.567,7.97,4.90666666666667,9,28.8793225,-26.005924556378
102,0.84375,7.1,0,0.559,7.67,4.71833333333333,9,28.88029225,-25.9937197261476
102,0.854166666666667,6.77,0,0.556,7.75,4.51166666666667,9,28.87447375,-25.98796650332
102,0.864583333333333,5.27,0,0.572,7.21,4.035,9,28.8870805,-26.005924556378
102,0.875,4.51,0,0.58,6.63,3.73166666666667,9,28.877383,-25.9937197261476
102,0.885416666666667,4.83,0,0.573,6.81,3.675,9,28.8832015,-25.9850908853001
102,0.895833333333333,6.64,0,0.554,7.23,3.95833333333333,9,28.881262,-25.9908427835517
102,0.90625,6.36,0,0.551,7.03,3.53,9,28.8832015,-25.9764680029864
102,0.916666666666667,6.51,0,0.537,7.09,3.64666666666667,9,28.8870805,-25.98796650332
102,0.927083333333333,5.97,0,0.524,7.06,3.28166666666667,9,28.8832015,-25.9707227230419
102,0.9375,7.29,0,0.557,6.29,3.06833333333333,9,28.885141,-25.9707227230419
102,0.947916666666667,6.13,0,0.542,6.26,2.895,9,28.885141,-25.9649800882874
102,0.958333333333333,5.29,0,0.521,6.3,2.50166666666667,9,28.88611075,-25.96474343156
102,0.96875,5.08,0,0.544,5.61,2.36666666666667,9,28.88805025,-25.96474343156
102,0.979166666666667,4.89,0,0.527,5.49,2.145,9,28.88902,-25.961636503507
102,0.989583333333333,6.6,0,0.476,6.1,2.545,9,28.88998975,-25.9499193131815
102,0,1.54,0,0.972,6.8,7.19,9.1,28.8560485,-26.9955372669939
103,0.0104166666666667,5.97,0,0.484,5.29,1.86833333333333,9,28.89192925,-25.9193579948031
103,0.0208333333333333,6.38,0,0.472,5.51,2.06666666666667,9,28.8909595,-25.9100607886958
103,0.03125,5.54,0,0.488,4.97,1.58166666666667,9,28.892899,-25.9040954635326
103,0.0416666666666667,4.8,0,0.513,4.25,1.52,9,28.89386875,-25.8952651487301
103,0.0520833333333333,6,0,0.514,4.47,1.70833333333333,9,28.88902,-25.9009985349064
103,0.0625,6.35,0,0.512,4.83,1.95833333333333,9,28.89192925,-25.8952651487301
103,0.0729166666666667,5.47,0,0.514,4.77,1.65166666666667,9,28.88805025,-25.898131511778
103,0.0833333333333333,4.41,0,0.524,4.24,1.72666666666667,9,28.8909595,-25.8952651487301
103,0.09375,4.1,0,0.531,4.51,2.29,9,28.89386875,-25.898131511778
103,0.104166666666667,3.87,0,0.522,5.21,2.76666666666667,9,28.892899,-25.8952651487301
103,0.114583333333333,3.07,0,0.528,5.31,2.8,9,28.88998975,-25.8838062943042
103,0.125,2.65,0,0.526,5.17,2.37,9,28.8909595,-25.8866700185496
103,0.135416666666667,2.85,0,0.529,4.87,2.14833333333333,9,28.8948385,-25.8866700185496
103,0.145833333333333,3.04,0,0.519,5.57,3.11166666666667,9,28.89580825,-25.8807100786902
103,0.15625,3.21,0,0.533,5.47,3.46166666666667,9,28.88998975,-25.8890734303499
103,0.166666666666667,2.41,0,0.541,5.63,3.50833333333333,9,28.892899,-25.8705153743714
103,0.177083333333333,1.64,0,0.544,5.43,3.72333333333333,9,28.896778,-25.8747515109997
103,0.1875,3.23,0,0.547,5.7,3.87666666666667,9,28.89386875,-25.8621477490694
103,0.197916666666667,2.66,0,0.563,5.37,3.72166666666667,9,28.89386875,-25.8535605316519
103,0.208333333333333,2.19,0,0.569,5.35,3.80666666666667,9,28.89192925,-25.8531029375972
103,0.21875,1.54,0,0.579,5.22,3.79,9,28.89968725,-25.8264425415042
103,0.229166666666667,1.42,0,0.595,4.97,3.75666666666667,9,28.9025965,-25.8143246771623
103,0.239583333333333,1.17,0,0.591,4.89,3.49333333333333,9,28.896778,-25.8143246771623
103,0.25,0.9,0,0.588,4.9,3.68,9,28.8987175,-25.8202693294582
103,0.260416666666667,0.61,0.1,0.596,4.77,3.72,9,28.89774775,-25.8143246771623
103,0.270833333333333,0.93,2.4,0.588,4.7,3.255,9,28.90162675,-25.8086084274179
103,0.28125,0.95,7.9,0.587,4.64,2.78333333333333,9,28.90162675,-25.8143246771623
103,0.291666666666667,1.64,22.4,0.579,4.67,2.975,9,28.904536,-25.79718382219
103,0.302083333333333,2.19,38.8,0.579,5.13,3.855,9,28.90162675,-25.8114662232363
103,0.3125,1.74,57,0.579,5.76,4.78333333333333,9,28.908415,-25.7962733692404
103,0.322916666666667,1.58,89.9,0.583,5.96,5.595,9,28.9064755,-25.7694459091283
103,0.333333333333333,1.23,114.1,0.601,6.19,6.08833333333333,9,28.90744525,-25.7509858758162
103,0.34375,0.9,115.1,0.611,6.39,6.55333333333333,9,28.90550575,-25.7479116823413
103,0.354166666666667,0.97,153.8,0.628,6.78,7.925,9,28.90744525,-25.7450571747887
103,0.364583333333333,3.04,159.5,0.612,7.45,7.79,9,28.908415,-25.7479116823413
103,0.375,2.7,242.9,0.606,8.09,9.27333333333333,9,28.90938475,-25.7479116823413
103,0.385416666666667,2.8,202.6,0.618,8.2,9.385,9,28.91132425,-25.7450571747887
103,0.395833333333333,2.74,172.5,0.63,8.17,9.16666666666667,9,28.9103545,-25.742203324435
103,0.40625,3.03,161.7,0.644,8.18,9.065,9,28.90938475,-25.739350131129
103,0.416666666666667,3.4,205.5,0.661,8.2,9.72666666666667,9,28.91714275,-25.742203324435
103,0.427083333333333,3.34,213.6,0.677,8.22,10.17,9,28.91326375,-25.7277210062873
103,0.4375,3.17,236,0.679,8.24,10.8266666666667,8.92,28.9142335,-25.7235576291173
103,0.447916666666667,3.17,265.3,0.689,8.35,11.645,8.9,28.91520325,-25.7084338737086
103,0.458333333333333,3.56,249.4,0.697,8.69,11.6133333333333,8.9,28.916173,-25.7000914581344
103,0.46875,4,219.8,0.702,8.73,11.2433333333333,8.9,28.91714275,-25.6913245642945
103,0.479166666666667,3.85,216.6,0.707,8.8,11.145,8.9,28.91714275,-25.679065955037
103,0.489583333333333,3.25,279.9,0.723,9.11,12.2916666666667,8.9,28.91908225,-25.6731538122767
103,0.5,2.99,287.8,0.75,9.45,12.7933333333333,8.9,28.91908225,-25.6674572717033
103,0.510416666666667,3.75,281.3,0.747,9.46,12.7433333333333,8.9,28.92102175,-25.6703052140708
103,0.520833333333333,4.19,446.1,0.776,9.92,15.4366666666667,8.9,28.920052,-25.6589173781219
103,0.53125,5.24,440.6,0.8,10.35,15.5466666666667,8.9,28.9219915,-25.6560720575987
103,0.541666666666667,5.62,730.7,0.833,10.97,19.7783333333333,8.9,28.920052,-25.6532273921593
103,0.552083333333333,5.48,629.2,0.836,11.31,19.325,8.9,28.916173,-25.650383381653
103,0.5625,5.99,680.6,0.83,11.47,19.835,8.9,28.92296125,-25.6589173781219
103,0.572916666666667,5.88,827.6,0.825,12.08,22.4333333333333,8.9,28.91908225,-25.650383381653
