julian_day,time,wind_speed,solar_radiation,relative_humidity,air_temp,canopy_temp_mean,soil_temp,water_content_mean,water_potential_mean,temperature_difference,cwsi,t_actual,t_potential
160,0.59375,3.23,742.3,0.821,19.75,22.1366666666667,17.4,23.47296625,-28.1970445077283,-2.3866666666666987,1,0.001,15.178127509803705
160,0.604166666666667,3.04,799.8,0.83,20.16,22.78,17.4,23.47102675,-28.2201988516833,-2.620000000000001,1,0.001,16.07377801187163
160,0.614583333333333,2.73,444.0,0.799,19.26,19.74,17.4,23.4603595,-28.2460217274207,-0.4799999999999969,0.8678086126481012,0.001,9.946853932615301
160,0.625,2.4,233.9,0.798,18.37,17.78,17.4,23.4526015,-28.2917667987479,0.5899999999999999,0.5595248232245646,2.1417636578697565,6.343016267892129
160,0.635416666666667,2.33,149.4,0.763,17.39,16.5133333333333,17.4,23.446783,-28.3245480710661,0.8766666666667007,0.36888837039598066,2.656465818655728,4.678721215917895
160,0.645833333333333,1.92,164.3,0.799,17.09,16.5383333333333,17.4,23.4448435,-28.3665602440239,0.5516666666667014,0.5793275672268441,1.5355400008179696,4.837178755966263
160,0.65625,1.85,220.9,0.755,17.17,16.8616666666667,17.4,23.435146,-28.3982272359198,0.3083333333333016,0.6852806702712525,1.0639746134089771,5.8020758125817355
160,0.666666666666667,1.42,219.7,0.85,16.76,16.3216666666667,17.4,23.4409645,-28.3982272359198,0.4383333333333006,0.6436484662570766,1.2967242423011272,5.610215673960032
160,0.677083333333333,1.29,209.7,0.883,16.51,16.4716666666667,17.4,23.431267,-28.3982272359198,0.03833333333330202,0.7979692727400162,0.25186009297277556,5.369554559086302
160,0.6875,1.91,215.5,0.987,16.21,16.1,17.4,23.4293275,-28.3982272359198,0.10999999999999943,0.7630299871343599,0.5223562021493265,5.574925405390283
160,0.697916666666667,2.34,263.6,1.025,15.83,16.3366666666667,17.4,23.42447875,-28.3982272359198,-0.5066666666667015,0.9934037749806894,0.001,6.411025405214782
160,0.708333333333333,1.77,173.7,1.018,15.75,15.6733333333333,17.4,23.41866025,-28.4435253784682,0.07666666666669997,0.8044819878693956,0.23158114433493418,4.757096751487027
160,0.71875,1.72,160.4,0.988,15.86,15.77,17.4,23.4254485,-28.4566271225304,0.08999999999999986,0.810098366307755,0.19882099138754028,4.533768993512752
160,0.729166666666667,2.1,184.5,0.862,16.37,15.9483333333333,17.4,23.407993,-28.5161799210282,0.4216666666667006,0.6254400272735468,1.3236317375447317,5.093879431769974
160,0.739583333333333,4.14,173.3,0.812,16.35,15.6416666666667,17.4,23.407993,-28.5242235579479,0.708333333333302,0.34780065193450593,2.9909200046369926,5.060207196374772
160,0.75,4.51,189.0,0.788,16.25,15.785,17.4,23.396356,-28.5319969611513,0.46499999999999986,0.5131550250480597,2.114780088741121,5.353241032883039
160,0.760416666666667,5.47,224.6,0.777,16.18,15.4683333333333,17.4,23.39538625,-28.5358850053782,0.7116666666666998,0.33056388209229626,3.684568114891043,6.050409699040175
